Month_Year,Department,Skill,Competency_Level,Skill_Requirement,Skill_Gap
Jan-2026,Statistical Analysis Department,Statistical Analysis,50,69,19
Feb-2026,Statistical Analysis Department,Statistical Analysis,53,70,17
Mar-2026,Statistical Analysis Department,Statistical Analysis,57,71,14
Apr-2026,Statistical Analysis Department,Statistical Analysis,61,71,10
May-2026,Statistical Analysis Department,Statistical Analysis,64,73,9
Jun-2026,Statistical Analysis Department,Statistical Analysis,67,73,6
Jul-2026,Statistical Analysis Department,Statistical Analysis,70,74,4
Aug-2026,Statistical Analysis Department,Statistical Analysis,74,74,0
Sep-2026,Statistical Analysis Department,Statistical Analysis,75,76,1
Oct-2026,Statistical Analysis Department,Statistical Analysis,75,77,2
Nov-2026,Statistical Analysis Department,Statistical Analysis,76,79,3
Dec-2026,Statistical Analysis Department,Statistical Analysis,77,80,3
Jan-2027,Statistical Analysis Department,Statistical Analysis,77,80,3
Feb-2027,Statistical Analysis Department,Statistical Analysis,78,80,2
Mar-2027,Statistical Analysis Department,Statistical Analysis,78,81,3
Apr-2027,Statistical Analysis Department,Statistical Analysis,80,81,1
May-2027,Statistical Analysis Department,Statistical Analysis,81,82,1
Jun-2027,Statistical Analysis Department,Statistical Analysis,81,82,1
Jul-2027,Statistical Analysis Department,Statistical Analysis,81,83,2
Aug-2027,Statistical Analysis Department,Statistical Analysis,83,83,0
Sep-2027,Statistical Analysis Department,Statistical Analysis,84,85,1
Oct-2027,Statistical Analysis Department,Statistical Analysis,85,86,1
Nov-2027,Statistical Analysis Department,Statistical Analysis,85,87,2
Dec-2027,Statistical Analysis Department,Statistical Analysis,86,88,2
Jan-2026,Statistical Analysis Department,Survey Design,49,66,17
Feb-2026,Statistical Analysis Department,Survey Design,50,69,19
Mar-2026,Statistical Analysis Department,Survey Design,51,71,20
Apr-2026,Statistical Analysis Department,Survey Design,52,73,21
May-2026,Statistical Analysis Department,Survey Design,53,77,24
Jun-2026,Statistical Analysis Department,Survey Design,54,79,25
Jul-2026,Statistical Analysis Department,Survey Design,55,82,27
Aug-2026,Statistical Analysis Department,Survey Design,56,86,30
Sep-2026,Statistical Analysis Department,Survey Design,58,90,32
Oct-2026,Statistical Analysis Department,Survey Design,59,93,34
Nov-2026,Statistical Analysis Department,Survey Design,60,94,34
Dec-2026,Statistical Analysis Department,Survey Design,61,95,34
Jan-2027,Statistical Analysis Department,Survey Design,63,95,32
Feb-2027,Statistical Analysis Department,Survey Design,64,95,31
Mar-2027,Statistical Analysis Department,Survey Design,64,95,31
Apr-2027,Statistical Analysis Department,Survey Design,65,96,31
May-2027,Statistical Analysis Department,Survey Design,65,96,31
Jun-2027,Statistical Analysis Department,Survey Design,67,97,30
Jul-2027,Statistical Analysis Department,Survey Design,67,98,31
Aug-2027,Statistical Analysis Department,Survey Design,68,98,30
Sep-2027,Statistical Analysis Department,Survey Design,69,98,29
Oct-2027,Statistical Analysis Department,Survey Design,71,99,28
Nov-2027,Statistical Analysis Department,Survey Design,72,100,28
Dec-2027,Statistical Analysis Department,Survey Design,72,100,28
Jan-2026,Statistical Analysis Department,Sampling Techniques,76,77,1
Feb-2026,Statistical Analysis Department,Sampling Techniques,76,77,1
Mar-2026,Statistical Analysis Department,Sampling Techniques,76,77,1
Apr-2026,Statistical Analysis Department,Sampling Techniques,77,77,0
May-2026,Statistical Analysis Department,Sampling Techniques,78,78,0
Jun-2026,Statistical Analysis Department,Sampling Techniques,79,78,-1
Jul-2026,Statistical Analysis Department,Sampling Techniques,78,79,1
Aug-2026,Statistical Analysis Department,Sampling Techniques,78,79,1
Sep-2026,Statistical Analysis Department,Sampling Techniques,77,79,2
Oct-2026,Statistical Analysis Department,Sampling Techniques,78,79,1
Nov-2026,Statistical Analysis Department,Sampling Techniques,77,80,3
Dec-2026,Statistical Analysis Department,Sampling Techniques,76,80,4
Jan-2027,Statistical Analysis Department,Sampling Techniques,76,81,5
Feb-2027,Statistical Analysis Department,Sampling Techniques,77,81,4
Mar-2027,Statistical Analysis Department,Sampling Techniques,77,82,5
Apr-2027,Statistical Analysis Department,Sampling Techniques,77,82,5
May-2027,Statistical Analysis Department,Sampling Techniques,79,83,4
Jun-2027,Statistical Analysis Department,Sampling Techniques,80,84,4
